Column,Y_at_X=0
469,692.9267155462743
470,696.0308527331001
471,699.1349898272287
472,702.3954567335167
473,706.5647264401774
474,710.7339958046409
475,714.9032653933083
476,718.2643392566857
477,721.4247993275259
478,724.5852593836504
479,725.546526632337
480,723.8763573830811
481,722.2061882289421
482,720.2300509742244
483,715.7566485605153
484,711.2832459377856
485,706.8098435617444
486,704.858438057863
487,703.6912145214941
488,702.5239905906566
489,703.6299231815983
490,707.923524939491
491,712.2171264624131
492,716.3942016596635
493,719.0115841789396
494,721.628967060356
495,724.2463499137358
496,724.2450074666701
497,723.2382529796138
498,722.231498488997
499,721.20649986144
500,720.1511543148182
501,719.0958088394696
502,718.1006872175083
503,719.182907243939
504,720.2651270974824
505,721.3473467697211
506,722.5887281931034
507,723.9047575374847
508,725.2207873150364
509,725.3188974055145
510,722.9790460399066
511,720.6391947118364
512,718.2993434937943
513,714.0530695316703
514,709.7785768157751
515,705.5040840009895
516,703.539465473843
517,702.887943778014
518,702.2364220019858
519,702.8953894336026
520,706.7690441294571
521,710.6426987055615
522,714.5163533177944
523,718.671805053401
524,722.8447553247216
525,727.0177057586287
526,730.439354663837
527,733.3461549216483
528,736.2529550956176
529,739.0887154314935
530,741.7057185849046
531,744.3227215431044
532,746.9397245012424
533,747.4385554000417
534,747.6937076537869
535,747.9488600852234
536,747.3679550840602
537,746.0987349274633
538,744.8295142967312
539,743.7388901305676
540,743.3624501078053
541,742.9860102536328
542,742.609570110116
543,743.3351801056683
544,744.2528440396561
545,745.1705085615808
546,746.2618592157113
547,747.5247466343924
548,748.78763416803
549,749.865084779932
550,749.9286821116964
551,749.992279889722
552,750.0558769323598
553,749.0310650576131
554,747.7444885823886
555,746.4579121314733
556,744.9982626337998
557,743.3334957938077
558,741.6687293080505
559,740.1083454839527
560,739.3997801325193
561,738.691215025569
562,737.9826495475884
563,737.2097823443585
564,736.4166892123881
565,735.6235961732273
566,734.7485285867622
567,733.756622384067
568,732.7647158291835
569,731.8117039169017
570,731.4278488123339
571,731.0439937831812
572,730.6601387733718
573,730.5315947794099
574,730.5044810717991
575,730.4773671422571
576,730.5752256752934
577,730.8882113056933
578,731.2011968283912
579,731.4872093463075
580,730.404401495173
581,729.3215936960003
582,728.2387857541344
583,724.4469406845304
584,719.3285382941311
585,714.2101358187035
586,708.6504633778978
587,702.1673890151626
588,695.6843145510871
589,689.2012397933571
590,685.3192444590703
591,681.5024783323489
592,677.6857118763221
593,675.3406113943004
594,673.8678343745447
595,672.3950573774722
596,670.9498706503894
597,669.5755259134161
598,668.2011807926117
599,666.8268361395042
600,665.6619253156308
601,664.5120795904377
602,663.3622338370861
603,662.4082273627079
604,661.5927757248542
605,660.7773240016493
606,659.8072950923118
607,658.3439531191618
608,656.8806113262231
609,655.4172694095412
610,653.5494566203001
611,651.632517995978
612,649.7155796930084
613,647.9097540015304
614,646.1966897669608
615,644.4836258722138
616,642.936919783553
617,642.0618634962196
618,641.1868070516291
619,640.3117506026489
620,638.9923664170494
621,637.5959468382176
622,636.1995274749266
623,634.4327521225101
624,632.3046859287118
625,630.176619726664
626,628.0461852506058
627,625.9033512895988
628,623.7605176204577
